Agency Name,Phone Number,City
Недвижими имоти Виктория 2003,0894221109,
НЕДВИЖИМИ ИМОТИ ДОНИКА ЛЯЛЕВА ЕООД,0885330346,
Николови Корект,0988391988,
Нирвана Хоумс,0894969121,
Нов Дом 1,0894555630,
Нова риал истейт,0882333707,
ОБЕДИНЕНИ АГЕНЦИИ ЗА НЕДВИЖИМИ ИМОТИ И ТУРИЗЪМ,0878817386,
ОРЕЛ-5 ЕООД,0898945694,
ПЕРФЕКТ СЪРВИС БГ ЕООД,0889953631,
Пирин Голф Асетс,0887555216,
Прогрес имоти,0885607833,
Продиджи имоти,0883313332,
Р-КОНСУЛТ 1 ЕООД,0889279037,
Радост-333 имоти,0888318803,
РАЙ,0878703573,
РБ Ентерпрайзис,0899947714,
Риелтор Естейт,0878319198,
РИС5,359888766241,
Севън Хоумс,0879019663,
слънчев рай,0899308256,
СМТЛегал Сървисиз ООД,0888702072,
СОФИЯ ИМОТ +,0888085007,
Стефановинест ЕООД,0884373727,
СТИЛ ПРОЕКТ,0888868922,
Строй билд 82 ЕООД,0878590605,
Тератръст,0888219313,
Тиара Естейтс 17 ЕООД,0884486871,
Толев Строй,0988714314,
Топ Имоти Варна,0895852888,
Трент Ренталс ЕООД,0898372674,
Фидий,0888991119,
Хаятис Естейтс,0882643334,
ХЕПИ ХАУС ЕООД,0888723155,
Хоби Имоти ЕООД,0899450421,
Хоум Вилидж БГ,0988941564,
